"provnum","provname","address","city","state","zip","pnlty_date","pnlty_type","fine_amt","payden_strt_dt","payden_days","filedate"
"155738","MILTON HOME, THE","206 E MARION ST","SOUTH BEND","IN","46601","2014-08-26","Fine","51500",,,"2015-12-01"
"155741","FAIRWAY VILLAGE","2630 S KEYSTONE AVE","INDIANAPOLIS","IN","46203","2014-01-31","Fine","1950",,,"2015-12-01"
"155741","FAIRWAY VILLAGE","2630 S KEYSTONE AVE","INDIANAPOLIS","IN","46203","2013-01-24","Fine","18745",,,"2015-12-01"
"155741","FAIRWAY VILLAGE","2630 S KEYSTONE AVE","INDIANAPOLIS","IN","46203","2013-01-24","Payment Denial",,"2013-04-24","15","2015-12-01"
"155763","NORTH RIDGE VILLAGE NURSING & REHAB CENTER","600 TRAIL RIDGE RD","ALBION","IN","46701","2013-11-22","Fine","3965",,,"2015-12-01"
"155776","SPRINGHILL VILLAGE","1001 E SPRINGHILL DR","TERRE HAUTE","IN","47802","2013-11-20","Fine","4550",,,"2015-12-01"
"155779","PRAIRIE LAKES HEALTH CAMPUS","9730 PRAIRIE LAKES BLVD E","NOBLESVILLE","IN","46060","2013-10-10","Fine","21060",,,"2015-12-01"
"155784","CREEKSIDE VILLAGE","1420 E DOUGLAS RD","MISHAWAKA","IN","46545","2013-02-21","Fine","2212",,,"2015-12-01"
"155785","WEST RIVER HEALTH CAMPUS","714 S EICKHOFF RD","EVANSVILLE","IN","47712","2014-04-17","Fine","7963",,,"2015-12-01"
"155786","ALLISONVILLE MEADOWS","10312 ALLISONVILLE RD","FISHERS","IN","46038","2013-06-10","Fine","9450",,,"2015-12-01"
"155793","HAMILTON TRACE OF FISHERS","11851 CUMBERLAND RD","FISHERS","IN","46037","2015-01-15","Fine","16673",,,"2015-12-01"
"155794","STRATFORD RETIREMENT LLC","2460 GLEBE ST","CARMEL","IN","46032","2014-12-17","Fine","10000",,,"2015-12-01"
"155794","STRATFORD RETIREMENT LLC","2460 GLEBE ST","CARMEL","IN","46032","2013-04-03","Payment Denial",,"2013-07-03","5","2015-12-01"
"155799","MARION REHABILITATION AND ASSISTED LIVING CENTER","614 WEST 14TH STREET","MARION","IN","46953","2014-05-30","Payment Denial",,"2014-08-30","9","2015-12-01"
"155799","MARION REHABILITATION AND ASSISTED LIVING CENTER","614 WEST 14TH STREET","MARION","IN","46953","2014-04-07","Fine","17350",,,"2015-12-01"
"155803","HAMILTON POINTE HEALTH AND REHAB","3800 ELI PLACE","NEWBURGH","IN","47630","2014-08-08","Fine","13650",,,"2015-12-01"
"155803","HAMILTON POINTE HEALTH AND REHAB","3800 ELI PLACE","NEWBURGH","IN","47630","2014-01-21","Fine","2503",,,"2015-12-01"
"155807","RURAL HEALTH CARE CENTER","1747 N RURAL ST","INDIANAPOLIS","IN","46218","2013-04-02","Fine","5000",,,"2015-12-01"
"155810","VERNON MANOR CHILDRENS HOME","1955 S VERNON ST","WABASH","IN","46992","2014-04-25","Fine","5460",,,"2015-12-01"
"155815","CLEARVISTA LAKE HEALTH CAMPUS","8405 CLEARVISTA PLACE","INDIANAPOLIS","IN","46256","2015-06-25","Fine","1820",,,"2015-12-01"
"165006","IOWA JEWISH SENIOR LIFE CENTER","900 POLK BOULEVARD","DES MOINES","IA","50312","2013-05-09","Fine","5395",,,"2015-12-01"
"165033","MANORCARE HEALTH SERVICES","815 EAST LOCUST STREET","DAVENPORT","IA","52803","2015-06-11","Fine","9328",,,"2015-12-01"
"165034","MANORCARE HEALTH SERVICES","201 WEST RIDGEWAY AVENUE","WATERLOO","IA","50701","2015-06-03","Fine","27951",,,"2015-12-01"
"165034","MANORCARE HEALTH SERVICES","201 WEST RIDGEWAY AVENUE","WATERLOO","IA","50701","2014-05-01","Fine","1170",,,"2015-12-01"
"165049","RIDGECREST VILLAGE","4130 NORTHWEST BOULEVARD","DAVENPORT","IA","52806","2013-10-31","Fine","5428",,,"2015-12-01"
"165072","GOOD SHEPHERD HEALTH CENTER","302 SECOND STREET NE","MASON CITY","IA","50401","2014-07-03","Fine","6663",,,"2015-12-01"
"165081","FRIENDSHIP VILLAGE RETIREMENT","600 PARK LANE","WATERLOO","IA","50702","2013-03-07","Fine","3088",,,"2015-12-01"
"165118","MADRID HOME FOR THE AGED","613 WEST NORTH STREET","MADRID","IA","50156","2014-09-23","Fine","12480",,,"2015-12-01"
"165145","EMBASSY HEALTHCARE COMMUNITY","206 PORT NEAL ROAD","SERGEANT BLUFF","IA","51054","2014-11-20","Fine","11700",,,"2015-12-01"
"165145","EMBASSY HEALTHCARE COMMUNITY","206 PORT NEAL ROAD","SERGEANT BLUFF","IA","51054","2014-11-20","Payment Denial",,"2015-02-20","20","2015-12-01"
"165146","KAHL HOME FOR THE AGED & INFIRMED","6701 JERSEY RIDGE ROAD","DAVENPORT","IA","52807","2015-03-18","Fine","4940",,,"2015-12-01"
"165146","KAHL HOME FOR THE AGED & INFIRMED","6701 JERSEY RIDGE ROAD","DAVENPORT","IA","52807","2013-10-03","Fine","2860",,,"2015-12-01"
"165151","LEXINGTON SQUARE","500 MESSENGER ROAD","KEOKUK","IA","52632","2014-10-14","Fine","15080",,,"2015-12-01"
"165152","HARMONY HOUSE HEALTH CARE CENT","2950 WEST SHAULIS ROAD","WATERLOO","IA","50701","2015-03-03","Fine","15730",,,"2015-12-01"
"165155","SALEM LUTHERAN HOME","2027 COLLEGE AVENUE","ELK HORN","IA","51531","2015-05-05","Fine","4420",,,"2015-12-01"
"165155","SALEM LUTHERAN HOME","2027 COLLEGE AVENUE","ELK HORN","IA","51531","2015-05-05","Payment Denial",,"2015-05-29","40","2015-12-01"
"165161","TOUCHSTONE HEALTHCARE COMMUNITY","1800 INDIAN HILLS DRIVE","SIOUX CITY","IA","51104","2014-12-29","Fine","9620",,,"2015-12-01"
"165161","TOUCHSTONE HEALTHCARE COMMUNITY","1800 INDIAN HILLS DRIVE","SIOUX CITY","IA","51104","2013-04-19","Fine","4973",,,"2015-12-01"
"165162","ALTOONA NURSING AND REHABILITATION CENTER","200 SEVENTH AVENUE SW","ALTOONA","IA","50009","2014-01-07","Fine","4615",,,"2015-12-01"
"165169","GOOD SAMARITAN SOCIETY - DAVENPORT","700 WAVERLY ROAD","DAVENPORT","IA","52804","2015-01-29","Fine","4290",,,"2015-12-01"
"165174","CASA DE PAZ HEALTH CARE CENTER","2121 WEST 19TH STREET","SIOUX CITY","IA","51103","2014-08-18","Fine","4713",,,"2015-12-01"
"165185","RED OAK HEALTHCARE COMMUNITY","1600 SUMMIT STREET","RED OAK","IA","51566","2015-07-10","Payment Denial",,"2015-08-11","3","2015-12-01"
"165186","GOOD SAMARITAN SOCIETY - INDIANOLA","708 SOUTH JEFFERSON PO BOX 319","INDIANOLA","IA","50125","2014-02-19","Fine","8650",,,"2015-12-01"
"165186","GOOD SAMARITAN SOCIETY - INDIANOLA","708 SOUTH JEFFERSON PO BOX 319","INDIANOLA","IA","50125","2013-09-04","Fine","1400",,,"2015-12-01"
"165191","GOOD SAMARITAN SOCIETY - RED OAK","201 ALIX AVENUE","RED OAK","IA","51566","2015-05-27","Fine","8678",,,"2015-12-01"
"165192","GOOD SAMARITAN SOCIETY - ESTHERVILLE","1646 FIFTH AVENUE NORTH","ESTHERVILLE","IA","51334","2014-01-03","Fine","4095",,,"2015-12-01"
"165197","CEDAR FALLS HEALTH CARE CENTER","1728 WEST EIGHTH STREET","CEDAR FALLS","IA","50613","2015-06-10","Fine","24213",,,"2015-12-01"
"165197","CEDAR FALLS HEALTH CARE CENTER","1728 WEST EIGHTH STREET","CEDAR FALLS","IA","50613","2014-01-23","Fine","5688",,,"2015-12-01"
"165200","MCPHERSON HEALTH CENTER","1600 MCPHERSON","COUNCIL BLUFFS","IA","51503","2014-02-26","Fine","16250",,,"2015-12-01"
"165200","MCPHERSON HEALTH CENTER","1600 MCPHERSON","COUNCIL BLUFFS","IA","51503","2013-04-04","Fine","9360",,,"2015-12-01"
"165200","MCPHERSON HEALTH CENTER","1600 MCPHERSON","COUNCIL BLUFFS","IA","51503","2013-04-04","Payment Denial",,"2013-07-04","82","2015-12-01"
"165202","UNION PARK HEALTH SERVICES","2401 EAST EIGHTH STREET","DES MOINES","IA","50316","2014-12-30","Fine","12090",,,"2015-12-01"
"165202","UNION PARK HEALTH SERVICES","2401 EAST EIGHTH STREET","DES MOINES","IA","50316","2013-03-12","Fine","1300",,,"2015-12-01"
"165202","UNION PARK HEALTH SERVICES","2401 EAST EIGHTH STREET","DES MOINES","IA","50316","2013-03-12","Payment Denial",,"2013-06-20","11","2015-12-01"
"165203","WESTMONT HEALTHCARE COMMUNITY","314 SOUTH ELM  STREET","LOGAN","IA","51546","2015-02-19","Fine","3120",,,"2015-12-01"
"165203","WESTMONT HEALTHCARE COMMUNITY","314 SOUTH ELM  STREET","LOGAN","IA","51546","2015-02-19","Payment Denial",,"2015-05-19","47","2015-12-01"
"165203","WESTMONT HEALTHCARE COMMUNITY","314 SOUTH ELM  STREET","LOGAN","IA","51546","2013-08-16","Fine","3868",,,"2015-12-01"
"165203","WESTMONT HEALTHCARE COMMUNITY","314 SOUTH ELM  STREET","LOGAN","IA","51546","2013-01-24","Fine","1235",,,"2015-12-01"
"165203","WESTMONT HEALTHCARE COMMUNITY","314 SOUTH ELM  STREET","LOGAN","IA","51546","2013-01-24","Payment Denial",,"2013-04-24","15","2015-12-01"
"165204","KEOSAUQUA HEALTH CARE CENTER","819 COUNTRY LANE ROAD","KEOSAUQUA","IA","52565","2015-01-27","Fine","64415",,,"2015-12-01"
"165204","KEOSAUQUA HEALTH CARE CENTER","819 COUNTRY LANE ROAD","KEOSAUQUA","IA","52565","2014-08-07","Fine","7410",,,"2015-12-01"
"165204","KEOSAUQUA HEALTH CARE CENTER","819 COUNTRY LANE ROAD","KEOSAUQUA","IA","52565","2014-08-07","Payment Denial",,"2014-09-09","39","2015-12-01"
"165208","GRANGER NURSING & REHABILITATION CENTER","2001 KENNEDY STREET","GRANGER","IA","50109","2013-07-17","Fine","5428",,,"2015-12-01"
"165208","GRANGER NURSING & REHABILITATION CENTER","2001 KENNEDY STREET","GRANGER","IA","50109","2013-07-17","Payment Denial",,"2013-10-17","41","2015-12-01"
"165230","OAKLAND MANOR","737 NORTH HIGHWAY","OAKLAND","IA","51560","2014-06-05","Payment Denial",,"2014-08-20","5","2015-12-01"
"165234","PARKVIEW MANOR","516 THIRTEENTH STREET","WELLMAN","IA","52356","2013-10-23","Fine","4778",,,"2015-12-01"
"165238","DENISON CARE CENTER","1202 RIDGE ROAD","DENISON","IA","51442","2014-06-19","Payment Denial",,"2014-07-17","4","2015-12-01"
"165243","CHAUTAUQUA GUEST HOME #3","302 NINTH STREET","CHARLES CITY","IA","50616","2014-12-18","Fine","5460",,,"2015-12-01"
"165243","CHAUTAUQUA GUEST HOME #3","302 NINTH STREET","CHARLES CITY","IA","50616","2013-10-17","Fine","4713",,,"2015-12-01"
"165251","RAVENWOOD SPECIALTY CARE","2651 ST FRANCIS DRIVE","WATERLOO","IA","50702","2015-08-11","Fine","3640",,,"2015-12-01"
"165251","RAVENWOOD SPECIALTY CARE","2651 ST FRANCIS DRIVE","WATERLOO","IA","50702","2015-02-11","Fine","35490",,,"2015-12-01"
"165251","RAVENWOOD SPECIALTY CARE","2651 ST FRANCIS DRIVE","WATERLOO","IA","50702","2013-04-03","Fine","9900",,,"2015-12-01"
"165253","PANORA SPECIALTY CARE","805 EAST MAIN","PANORA","IA","50216","2013-07-03","Payment Denial",,"2013-08-10","61","2015-12-01"
"165254","OAKVIEW, INC.","511 EAST CENTER","CONRAD","IA","50621","2013-10-30","Fine","5915",,,"2015-12-01"
"165255","CARLISLE CENTER FOR WELLNESS AND REHAB","680 COLE STREET","CARLISLE","IA","50047","2014-06-19","Fine","33540",,,"2015-12-01"
"165255","CARLISLE CENTER FOR WELLNESS AND REHAB","680 COLE STREET","CARLISLE","IA","50047","2014-06-19","Payment Denial",,"2014-08-06","98","2015-12-01"
"165255","CARLISLE CENTER FOR WELLNESS AND REHAB","680 COLE STREET","CARLISLE","IA","50047","2013-08-22","Fine","1138",,,"2015-12-01"
"165256","ELMWOOD CARE CENTRE","222 NORTH 15TH STREET","ONAWA","IA","51040","2013-10-10","Fine","5753",,,"2015-12-01"
"165257","GOLDEN AGE CARE CENTER","1915 SOUTH 18TH STREET","CENTERVILLE","IA","52544","2012-12-07","Fine","7150",,,"2015-12-01"
"165257","GOLDEN AGE CARE CENTER","1915 SOUTH 18TH STREET","CENTERVILLE","IA","52544","2012-12-07","Payment Denial",,"2013-01-30","57","2015-12-01"
"165262","TRU REHAB OF GRINNELL","415 W SIXTH AVENUE","GRINNELL","IA","50112","2014-06-04","Fine","121030",,,"2015-12-01"
"165262","TRU REHAB OF GRINNELL","415 W SIXTH AVENUE","GRINNELL","IA","50112","2014-06-04","Payment Denial",,"2014-06-06","39","2015-12-01"
"165264","QHC MITCHELLVILLE, LLC","114 CARTER STREET SW","MITCHELLVILLE","IA","50169","2015-07-14","Fine","30810",,,"2015-12-01"
"165264","QHC MITCHELLVILLE, LLC","114 CARTER STREET SW","MITCHELLVILLE","IA","50169","2015-07-14","Payment Denial",,"2015-08-11","34","2015-12-01"
"165268","THE REHABILITATION CENTER OF DES MOINES","701 RIVERVIEW","DES MOINES","IA","50316","2015-01-08","Payment Denial",,"2015-04-08","6","2015-12-01"
"165272","UNIVERSITY PARK NURSING & REHABILITATION CENTER","233 UNIVERSITY AVENUE","DES MOINES","IA","50314","2012-12-06","Fine","650",,,"2015-12-01"
"165272","UNIVERSITY PARK NURSING & REHABILITATION CENTER","233 UNIVERSITY AVENUE","DES MOINES","IA","50314","2012-12-06","Payment Denial",,"2013-01-11","40","2015-12-01"
"165273","FLEUR HEIGHTS CENTER FOR WELLNESS AND REHAB","4911 SW 19TH STREET","DES MOINES","IA","50315","2014-04-09","Fine","50050",,,"2015-12-01"
"165280","BETTENDORF HEALTH CARE CENTER","2730 CROW CREEK ROAD","BETTENDORF","IA","52722","2014-04-10","Fine","47400",,,"2015-12-01"
"165280","BETTENDORF HEALTH CARE CENTER","2730 CROW CREEK ROAD","BETTENDORF","IA","52722","2014-04-10","Payment Denial",,"2014-05-27","7","2015-12-01"
"165280","BETTENDORF HEALTH CARE CENTER","2730 CROW CREEK ROAD","BETTENDORF","IA","52722","2013-09-12","Fine","5428",,,"2015-12-01"
"165286","SUNRISE HILL CARE & REHAB CENTER","909 6TH STREET","TRAER","IA","50675","2013-09-25","Fine","4713",,,"2015-12-01"
"165290","NORTH CREST LIVING CENTER","34 NORTHCREST DRIVE","COUNCIL BLUFFS","IA","51503","2013-06-11","Fine","5103",,,"2015-12-01"
"165290","NORTH CREST LIVING CENTER","34 NORTHCREST DRIVE","COUNCIL BLUFFS","IA","51503","2013-06-11","Payment Denial",,"2013-08-08","72","2015-12-01"
"165296","PLEASANT VIEW CARE CENTER","200 SHANNON DRIVE","WHITING","IA","51063","2015-01-08","Payment Denial",,"2015-04-08","29","2015-12-01"
"165296","PLEASANT VIEW CARE CENTER","200 SHANNON DRIVE","WHITING","IA","51063","2014-07-23","Fine","3575",,,"2015-12-01"
"165296","PLEASANT VIEW CARE CENTER","200 SHANNON DRIVE","WHITING","IA","51063","2014-07-23","Payment Denial",,"2014-09-03","54","2015-12-01"
"165299","CRESTVIEW ACRES","1485 GRAND","MARION","IA","52302","2015-07-02","Fine","4095",,,"2015-12-01"
"165305","CHARITON SPECIALTY CARE","1214 NORTH SEVENTH STREET","CHARITON","IA","50049","2014-01-28","Fine","5883",,,"2015-12-01"
"165306","PARKVIEW CARE CENTER","2237 HIGHWAY 34","FAIRFIELD","IA","52556","2014-04-03","Fine","9600",,,"2015-12-01"
"165307","COUNTRY VIEW","1410 WEST DUNKERTON ROAD","WATERLOO","IA","50703","2015-04-27","Fine","3120",,,"2015-12-01"
"165308","WEST RIDGE SPECIALTY CARE","1904  WEST HOWARD STREET","KNOXVILLE","IA","50138","2014-07-28","Fine","1300",,,"2015-12-01"
"165308","WEST RIDGE SPECIALTY CARE","1904  WEST HOWARD STREET","KNOXVILLE","IA","50138","2013-12-02","Fine","4713",,,"2015-12-01"
"165310","HERITAGE SPECIALTY CARE","200 CLIVE DRIVE SW","CEDAR RAPIDS","IA","52404","2013-10-08","Fine","4713",,,"2015-12-01"
"165320","ZEARING HEALTH CARE, LLC","404 EAST GARFIELD ST","ZEARING","IA","50278","2015-05-05","Fine","63635",,,"2015-12-01"
"165320","ZEARING HEALTH CARE, LLC","404 EAST GARFIELD ST","ZEARING","IA","50278","2014-04-24","Fine","32175",,,"2015-12-01"
"165320","ZEARING HEALTH CARE, LLC","404 EAST GARFIELD ST","ZEARING","IA","50278","2014-04-24","Payment Denial",,"2014-05-22","27","2015-12-01"
"165324","PLEASANT CARE LIVING CENTER","909 NORTH STATE STREET","PLEASANTVILLE","IA","50225","2015-07-02","Fine","18820",,,"2015-12-01"
"165324","PLEASANT CARE LIVING CENTER","909 NORTH STATE STREET","PLEASANTVILLE","IA","50225","2015-03-12","Fine","63895",,,"2015-12-01"
"165326","BLOOMFIELD CARE CENTER","800 NORTH DAVIS STREET","BLOOMFIELD","IA","52537","2013-07-23","Fine","7950",,,"2015-12-01"
"165329","KINGSLEY SPECIALTY CARE","305 WEST THIRD BOX 10","KINGSLEY","IA","51028","2015-06-12","Fine","6500",,,"2015-12-01"
"165339","DUMONT WELLNESS CENTER","921 THIRD STREET","DUMONT","IA","50625","2013-10-24","Fine","4713",,,"2015-12-01"
"165344","GOWRIE CARE CENTER LLC","1808 MAIN STREET","GOWRIE","IA","50543","2013-07-11","Fine","2100",,,"2015-12-01"
"165344","GOWRIE CARE CENTER LLC","1808 MAIN STREET","GOWRIE","IA","50543","2013-07-11","Payment Denial",,"2013-10-11","38","2015-12-01"
"165361","ROLLING GREEN VILLAGE CARE CEN","100 SIXTH STREET","NEVADA","IA","50201","2014-10-09","Payment Denial",,"2014-11-14","10","2015-12-01"
"165361","ROLLING GREEN VILLAGE CARE CEN","100 SIXTH STREET","NEVADA","IA","50201","2014-02-06","Fine","4680",,,"2015-12-01"
"165365","OAKWOOD CARE CENTER","400 HIGHWAY 18 WEST","CLEAR LAKE","IA","50428","2015-05-05","Fine","8710",,,"2015-12-01"
"165365","OAKWOOD CARE CENTER","400 HIGHWAY 18 WEST","CLEAR LAKE","IA","50428","2014-06-05","Fine","4843",,,"2015-12-01"
"165383","GREENFIELD REHABILITATION & HEALTH CARE CENTER","615 SE KENT STREET","GREENFIELD","IA","50849","2013-01-17","Fine","3413",,,"2015-12-01"
"165387","PRIMGHAR REHAB & CARE CENTER","735 NORTH RERICK","PRIMGHAR","IA","51245","2014-05-15","Payment Denial",,"2014-06-13","4","2015-12-01"
"165387","PRIMGHAR REHAB & CARE CENTER","735 NORTH RERICK","PRIMGHAR","IA","51245","2013-09-26","Fine","8250",,,"2015-12-01"
"165398","BAXTER HEALTH CARE CENTER","407 SOUTH EAST AVENUE","BAXTER","IA","50028","2014-02-26","Fine","5363",,,"2015-12-01"
"165399","REGENCY CARE CENTER","815 HIGH ROAD","NORWALK","IA","50211","2015-05-07","Payment Denial",,"2015-08-07","52","2015-12-01"
"165399","REGENCY CARE CENTER","815 HIGH ROAD","NORWALK","IA","50211","2014-08-06","Payment Denial",,"2014-11-06","7","2015-12-01"
"165399","REGENCY CARE CENTER","815 HIGH ROAD","NORWALK","IA","50211","2013-05-16","Payment Denial",,"2013-08-16","5","2015-12-01"
"165414","POMEROY CARE CENTER","303 EAST 7TH STREET","POMEROY","IA","50575","2015-05-21","Fine","3510",,,"2015-12-01"
"165421","HERITAGE MANOR","1743 SOUTH EIGHTH AVENUE EAST","NEWTON","IA","50208","2013-08-28","Fine","7350",,,"2015-12-01"
"165430","THE ABBEY OF LEMARS, INC.","320 FIRST AVENUE SE","LE MARS","IA","51031","2014-10-01","Fine","1235",,,"2015-12-01"
"165430","THE ABBEY OF LEMARS, INC.","320 FIRST AVENUE SE","LE MARS","IA","51031","2014-10-01","Payment Denial",,"2014-12-23","8","2015-12-01"
"165430","THE ABBEY OF LEMARS, INC.","320 FIRST AVENUE SE","LE MARS","IA","51031","2014-03-04","Fine","66203",,,"2015-12-01"
"165430","THE ABBEY OF LEMARS, INC.","320 FIRST AVENUE SE","LE MARS","IA","51031","2014-03-04","Payment Denial",,"2014-06-04","50","2015-12-01"
"165434","OGDEN MANOR","625 EAST OAK STREET","OGDEN","IA","50212","2015-02-10","Fine","5265",,,"2015-12-01"
"165434","OGDEN MANOR","625 EAST OAK STREET","OGDEN","IA","50212","2013-04-24","Fine","5395",,,"2015-12-01"
"165435","HALLMARK CARE CENTER","3800 INDIAN HILLS DRIVE","SIOUX CITY","IA","51104","2013-09-06","Fine","4800",,,"2015-12-01"
"165435","HALLMARK CARE CENTER","3800 INDIAN HILLS DRIVE","SIOUX CITY","IA","51104","2013-09-06","Payment Denial",,"2013-12-06","59","2015-12-01"
"165436","ST MARY HEALTHCARE AND REHABILITATION CENTER","800 EAST RUSHOLME STREET","DAVENPORT","IA","52803","2014-02-20","Payment Denial",,"2014-05-29","7","2015-12-01"
"165441","SUNNY VIEW CARE CENTER","410 N W  ASH DRIVE","ANKENY","IA","50023","2013-12-19","Fine","8000",,,"2015-12-01"
"165441","SUNNY VIEW CARE CENTER","410 N W  ASH DRIVE","ANKENY","IA","50023","2013-12-19","Payment Denial",,"2014-03-08","2","2015-12-01"
"165443","GRAND JI VANTE","502 BUTLER STREET","ACKLEY","IA","50601","2015-03-16","Fine","9165",,,"2015-12-01"
"165443","GRAND JI VANTE","502 BUTLER STREET","ACKLEY","IA","50601","2015-03-16","Payment Denial",,"2015-04-18","14","2015-12-01"
"165443","GRAND JI VANTE","502 BUTLER STREET","ACKLEY","IA","50601","2014-08-05","Fine","9400",,,"2015-12-01"
"165443","GRAND JI VANTE","502 BUTLER STREET","ACKLEY","IA","50601","2014-08-05","Payment Denial",,"2014-09-18","68","2015-12-01"
"165443","GRAND JI VANTE","502 BUTLER STREET","ACKLEY","IA","50601","2014-01-16","Fine","6338",,,"2015-12-01"
"165448","BISHOP DRUMM CARE CENTER","5837 WINWOOD DRIVE","JOHNSTON","IA","50131","2014-10-20","Fine","157700",,,"2015-12-01"
"165448","BISHOP DRUMM CARE CENTER","5837 WINWOOD DRIVE","JOHNSTON","IA","50131","2013-08-01","Fine","4843",,,"2015-12-01"
"165448","BISHOP DRUMM CARE CENTER","5837 WINWOOD DRIVE","JOHNSTON","IA","50131","2013-05-08","Fine","6012",,,"2015-12-01"
"165451","HAWKEYE CARE CENTER MARSHALLTOWN","2401 SOUTH SECOND STREET","MARSHALLTOWN","IA","50158","2013-11-14","Fine","33345",,,"2015-12-01"
"165453","PEARL VALLEY REHABILITATION & HEALTHCARE CENTER O","601 E POLK ST","WASHINGTON","IA","52353","2013-10-02","Fine","49525",,,"2015-12-01"
"165453","PEARL VALLEY REHABILITATION & HEALTHCARE CENTER O","601 E POLK ST","WASHINGTON","IA","52353","2013-10-02","Payment Denial",,"2013-11-20","51","2015-12-01"
"165453","PEARL VALLEY REHABILITATION & HEALTHCARE CENTER O","601 E POLK ST","WASHINGTON","IA","52353","2013-02-18","Fine","14490",,,"2015-12-01"
"165453","PEARL VALLEY REHABILITATION & HEALTHCARE CENTER O","601 E POLK ST","WASHINGTON","IA","52353","2013-02-18","Payment Denial",,"2013-05-09","55","2015-12-01"
"165455","HAWKEYE CARE CENTER CARROLL","2241 NORTH WEST STREET","CARROLL","IA","51401","2015-04-23","Fine","28100",,,"2015-12-01"
"165455","HAWKEYE CARE CENTER CARROLL","2241 NORTH WEST STREET","CARROLL","IA","51401","2015-04-23","Payment Denial",,"2015-06-23","27","2015-12-01"
"165458","SUTHERLAND CARE CENTER","506 EAST FOURTH STREET","SUTHERLAND","IA","51058","2015-06-04","Payment Denial",,"2015-07-22","36","2015-12-01"
"165463","CRESTVIEW NURSING & REHAB","2401 SOUTH DES MOINES STREET","WEBSTER CITY","IA","50595","2015-05-20","Fine","21418",,,"2015-12-01"
"165463","CRESTVIEW NURSING & REHAB","2401 SOUTH DES MOINES STREET","WEBSTER CITY","IA","50595","2015-05-20","Payment Denial",,"2015-06-26","5","2015-12-01"
"165466","RISEN SON CHRISTIAN VILLAGE","3000 RISEN SON BOULEVARD","COUNCIL BLUFFS","IA","51503","2015-04-15","Fine","4290",,,"2015-12-01"
"165469","CEDAR HEALTH","807 FIFTH STREET","CHARLES CITY","IA","50616","2013-08-22","Fine","350",,,"2015-12-01"
"165469","CEDAR HEALTH","807 FIFTH STREET","CHARLES CITY","IA","50616","2013-08-22","Payment Denial",,"2013-09-25","15","2015-12-01"
"165470","PLEASANTVIEW HOME","811 THIRD STREET","KALONA","IA","52247","2013-07-25","Fine","19046",,,"2015-12-01"
"165474","THE AMBASSADOR SIDNEY INC","115 MAIN STREET","SIDNEY","IA","51652","2015-08-03","Fine","5200",,,"2015-12-01"
"165484","ST LUKE LUTHERAN HOME","1301 SAINT LUKE DRIVE","SPENCER","IA","51301","2013-05-09","Fine","2300",,,"2015-12-01"
"165484","ST LUKE LUTHERAN HOME","1301 SAINT LUKE DRIVE","SPENCER","IA","51301","2013-05-09","Payment Denial",,"2013-08-09","3","2015-12-01"
"165487","WESLEY ACRES","3520 GRAND AVENUE","DES MOINES","IA","50312","2015-01-28","Fine","6143",,,"2015-12-01"
"165499","BLACKHAWK LIFE CARE CENTER","73 WEST 5TH STREET","LAKE VIEW","IA","51450","2014-01-23","Fine","5753",,,"2015-12-01"
"165501","COMMUNITY CARE CENTER","325 SOUTHWEST SEVENTH STREET","STUART","IA","50250","2015-01-29","Fine","197000",,,"2015-12-01"
"165501","COMMUNITY CARE CENTER","325 SOUTHWEST SEVENTH STREET","STUART","IA","50250","2013-11-14","Fine","2665",,,"2015-12-01"
"165528","HAWKEYE CARE CENTER SPIRIT LAKE","1912 ZENITH AVENUE","SPIRIT LAKE","IA","51360","2015-07-02","Fine","8190",,,"2015-12-01"
"165528","HAWKEYE CARE CENTER SPIRIT LAKE","1912 ZENITH AVENUE","SPIRIT LAKE","IA","51360","2015-07-02","Payment Denial",,"2015-08-06","1","2015-12-01"
"165528","HAWKEYE CARE CENTER SPIRIT LAKE","1912 ZENITH AVENUE","SPIRIT LAKE","IA","51360","2015-03-17","Fine","4200",,,"2015-12-01"
"165528","HAWKEYE CARE CENTER SPIRIT LAKE","1912 ZENITH AVENUE","SPIRIT LAKE","IA","51360","2014-09-22","Fine","34160",,,"2015-12-01"
"165530","GLEN HAVEN HOME","302 SIXTH AVENUE","GLENWOOD","IA","51534","2015-04-20","Payment Denial",,"2015-07-20","21","2015-12-01"
"165530","GLEN HAVEN HOME","302 SIXTH AVENUE","GLENWOOD","IA","51534","2014-05-16","Fine","5493",,,"2015-12-01"
"165530","GLEN HAVEN HOME","302 SIXTH AVENUE","GLENWOOD","IA","51534","2014-05-16","Fine","28450",,,"2015-12-01"
"165530","GLEN HAVEN HOME","302 SIXTH AVENUE","GLENWOOD","IA","51534","2014-05-16","Payment Denial",,"2014-08-16","73","2015-12-01"
"165535","SUNSET KNOLL CARE AND REHAB CENTER","401 WEST FIFTH STREET","AURELIA","IA","51005","2015-04-17","Fine","2275",,,"2015-12-01"
"165536","I O O F HOME AND COMMUNITY THERAPY CENTER","1037 19TH STREET SW","MASON CITY","IA","50401","2013-07-30","Fine","4713",,,"2015-12-01"
"165537","HIAWATHA CARE CENTER","405 NORTH 15TH AVENUE","HIAWATHA","IA","52233","2013-12-05","Fine","7250",,,"2015-12-01"
"165542","METH-WICK HEALTH CENTER","1224 13TH STREET NW","CEDAR RAPIDS","IA","52405","2013-11-19","Fine","5655",,,"2015-12-01"
