"Federal Provider Number","Provider Name","Provider Address","Provider City","Provider State","Provider Zip Code","Penalty Date","Penalty Type","Fine Amount","Payment Denial Start Date","Payment Denial Length in Days","Location","Processing Date"
"145947","APERION CARE MIDLOTHIAN","3249 WEST 147TH STREET","MIDLOTHIAN","IL","60445","2018-07-13","Fine","3900",,,"3249 WEST 147TH STREET,MIDLOTHIAN,IL,60445","2020-11-01"
"145950","GENERATIONS AT ROCK ISLAND","2545 24TH STREET","ROCK ISLAND","IL","61201","2019-06-14","Payment Denial",,"2019-08-14","3","2545 24TH STREET,ROCK ISLAND,IL,61201","2020-11-01"
"145950","GENERATIONS AT ROCK ISLAND","2545 24TH STREET","ROCK ISLAND","IL","61201","2019-09-17","Fine","8070",,,"2545 24TH STREET,ROCK ISLAND,IL,61201","2020-11-01"
"145951","PASSAVANT AREA HOSPITAL","1600 W WALNUT STREET","JACKSONVILLE","IL","62650","2019-03-15","Fine","6633",,,"1600 W WALNUT STREET,JACKSONVILLE,IL,62650","2020-11-01"
"145951","PASSAVANT AREA HOSPITAL","1600 W WALNUT STREET","JACKSONVILLE","IL","62650","2019-03-15","Payment Denial",,"2019-06-05","25","1600 W WALNUT STREET,JACKSONVILLE,IL,62650","2020-11-01"
"145963","ALDEN ESTATES OF ORLAND PARK","16450 SOUTH 97TH AVENUE","ORLAND PARK","IL","60462","2018-04-10","Fine","11112",,,"16450 SOUTH 97TH AVENUE,ORLAND PARK,IL,60462","2020-11-01"
"145967","WINDSOR ESTATES NSG & REHAB","18300 SOUTH LAVERGNE","COUNTRY CLUB HILLS","IL","60478","2017-12-01","Payment Denial",,"2018-02-09","27","18300 SOUTH LAVERGNE,COUNTRY CLUB HILLS,IL,60478","2020-11-01"
"145967","WINDSOR ESTATES NSG & REHAB","18300 SOUTH LAVERGNE","COUNTRY CLUB HILLS","IL","60478","2019-11-06","Payment Denial",,"2020-01-27","11","18300 SOUTH LAVERGNE,COUNTRY CLUB HILLS,IL,60478","2020-11-01"
"145969","APERION CARE FOREST PARK","8200 WEST ROOSEVELT ROAD","FOREST PARK","IL","60130","2019-05-02","Fine","6633",,,"8200 WEST ROOSEVELT ROAD,FOREST PARK,IL,60130","2020-11-01"
"145969","APERION CARE FOREST PARK","8200 WEST ROOSEVELT ROAD","FOREST PARK","IL","60130","2019-08-22","Fine","98128",,,"8200 WEST ROOSEVELT ROAD,FOREST PARK,IL,60130","2020-11-01"
"145970","VILLA AT WINDSOR PARK","2649 EAST 75TH ST","CHICAGO","IL","60649","2019-06-28","Fine","10205",,,"2649 EAST 75TH ST,CHICAGO,IL,60649","2020-11-01"
"145972","PRESENCE COR MARIAE CENTER","3330 MARIA LINDEN DRIVE","ROCKFORD","IL","61114","2018-06-06","Fine","11700",,,"3330 MARIA LINDEN DRIVE,ROCKFORD,IL,61114","2020-11-01"
"145972","PRESENCE COR MARIAE CENTER","3330 MARIA LINDEN DRIVE","ROCKFORD","IL","61114","2019-03-06","Fine","24976",,,"3330 MARIA LINDEN DRIVE,ROCKFORD,IL,61114","2020-11-01"
"145980","DUNHAM REHAB & HEALTHCARE","850 DUNHAM RD","ST CHARLES","IL","60174","2019-05-01","Fine","1749",,,"850 DUNHAM RD,ST CHARLES,IL,60174","2020-11-01"
"145980","DUNHAM REHAB & HEALTHCARE","850 DUNHAM RD","ST CHARLES","IL","60174","2019-05-01","Fine","7296",,,"850 DUNHAM RD,ST CHARLES,IL,60174","2020-11-01"
"145981","SWANSEA REHAB HEALTH CARE","1405 NORTH SECOND STREET","SWANSEA","IL","62226","2018-07-24","Payment Denial",,"2018-10-14","32","1405 NORTH SECOND STREET,SWANSEA,IL,62226","2020-11-01"
"145987","SERENITY OF GALESBURG","1145 FRANK STREET","GALESBURG","IL","61401","2018-12-13","Fine","21154",,,"1145 FRANK STREET,GALESBURG,IL,61401","2020-11-01"
"145987","SERENITY OF GALESBURG","1145 FRANK STREET","GALESBURG","IL","61401","2019-01-29","Fine","30752",,,"1145 FRANK STREET,GALESBURG,IL,61401","2020-11-01"
"145989","PARKER NURSING & REHAB CENTER","516 WEST FRECH STREET","STREATOR","IL","61364","2019-05-10","Fine","7296",,,"516 WEST FRECH STREET,STREATOR,IL,61364","2020-11-01"
"146001","APERION CARE INTERNATIONAL","4815 SOUTH WESTERN AVE","CHICAGO","IL","60609","2018-02-05","Payment Denial",,"2018-04-25","9","4815 SOUTH WESTERN AVE,CHICAGO,IL,60609","2020-11-01"
"146010","ACCOLADE HEALTHCARE OF PONTIAC","300 WEST LOWELL","PONTIAC","IL","61764","2018-04-25","Payment Denial",,"2018-07-15","24","300 WEST LOWELL,PONTIAC,IL,61764","2020-11-01"
"146016","SUNSET REHABILITATION & HLTH C","129 SOUTH 1ST AVENUE","CANTON","IL","61520","2018-09-11","Payment Denial",,"2018-12-01","3","129 SOUTH 1ST AVENUE,CANTON,IL,61520","2020-11-01"
"146026","LEWIS MEMORIAL CHRISTIAN VLG","3400 WEST WASHINGTON","SPRINGFIELD","IL","62702","2018-09-18","Fine","7150",,,"3400 WEST WASHINGTON,SPRINGFIELD,IL,62702","2020-11-01"
"146026","LEWIS MEMORIAL CHRISTIAN VLG","3400 WEST WASHINGTON","SPRINGFIELD","IL","62702","2019-07-10","Fine","53147",,,"3400 WEST WASHINGTON,SPRINGFIELD,IL,62702","2020-11-01"
"146028","WARREN BARR LINCOLNSHIRE","150 JAMESTOWN LANE","LINCOLNSHIRE","IL","60069","2018-04-19","Fine","21210",,,"150 JAMESTOWN LANE,LINCOLNSHIRE,IL,60069","2020-11-01"
"146028","WARREN BARR LINCOLNSHIRE","150 JAMESTOWN LANE","LINCOLNSHIRE","IL","60069","2018-12-06","Fine","13627",,,"150 JAMESTOWN LANE,LINCOLNSHIRE,IL,60069","2020-11-01"
"146029","FRANCISCAN VILLAGE","1270 FRANCISCAN DRIVE","LEMONT","IL","60439","2019-07-10","Fine","78300",,,"1270 FRANCISCAN DRIVE,LEMONT,IL,60439","2020-11-01"
"146029","FRANCISCAN VILLAGE","1270 FRANCISCAN DRIVE","LEMONT","IL","60439","2019-07-10","Payment Denial",,"2019-09-30","2","1270 FRANCISCAN DRIVE,LEMONT,IL,60439","2020-11-01"
"146043","FRIENDSHIP MANOR HEALTH CARE","485 SOUTH FRIENDSHIP DRIVE","NASHVILLE","IL","62263","2017-11-17","Fine","15174",,,"485 SOUTH FRIENDSHIP DRIVE,NASHVILLE,IL,62263","2020-11-01"
"146052","ALHAMBRA REHAB & HEALTHCARE","417 EAST MAIN STREET, BOX 310","ALHAMBRA","IL","62001","2019-04-25","Fine","4147",,,"417 EAST MAIN STREET, BOX 310,ALHAMBRA,IL,62001","2020-11-01"
"146053","HOLY FAMILY VILLA","12220 SOUTH WILL COOK ROAD","PALOS PARK","IL","60464","2018-10-05","Fine","7803",,,"12220 SOUTH WILL COOK ROAD,PALOS PARK,IL,60464","2020-11-01"
"146059","HERITAGE HEALTH-JACKSONVILLE","873 GROVE STREET","JACKSONVILLE","IL","62650","2019-06-27","Fine","16185",,,"873 GROVE STREET,JACKSONVILLE,IL,62650","2020-11-01"
"146061","BROOKDALE PLAZA LISLE SNF","1800 ROBIN LANE","LISLE","IL","60532","2017-11-02","Fine","8125",,,"1800 ROBIN LANE,LISLE,IL,60532","2020-11-01"
"146061","BROOKDALE PLAZA LISLE SNF","1800 ROBIN LANE","LISLE","IL","60532","2018-04-05","Fine","7150",,,"1800 ROBIN LANE,LISLE,IL,60532","2020-11-01"
"146061","BROOKDALE PLAZA LISLE SNF","1800 ROBIN LANE","LISLE","IL","60532","2018-08-30","Fine","15834",,,"1800 ROBIN LANE,LISLE,IL,60532","2020-11-01"
"146075","GRANITE NURSING & REHABILITATION","3500 CENTURY DRIVE","GRANITE CITY","IL","62040","2018-08-16","Fine","18922",,,"3500 CENTURY DRIVE,GRANITE CITY,IL,62040","2020-11-01"
"146075","GRANITE NURSING & REHABILITATION","3500 CENTURY DRIVE","GRANITE CITY","IL","62040","2019-04-09","Fine","15310",,,"3500 CENTURY DRIVE,GRANITE CITY,IL,62040","2020-11-01"
"146075","GRANITE NURSING & REHABILITATION","3500 CENTURY DRIVE","GRANITE CITY","IL","62040","2019-05-04","Fine","22870",,,"3500 CENTURY DRIVE,GRANITE CITY,IL,62040","2020-11-01"
"146075","GRANITE NURSING & REHABILITATION","3500 CENTURY DRIVE","GRANITE CITY","IL","62040","2019-09-20","Fine","65830",,,"3500 CENTURY DRIVE,GRANITE CITY,IL,62040","2020-11-01"
"146076","MANOR COURT OF CLINTON","1 PARK LANE WEST","CLINTON","IL","61727","2018-08-01","Fine","33927",,,"1 PARK LANE WEST,CLINTON,IL,61727","2020-11-01"
"146094","BROOKDALE BURR RIDGE","6801 HIGHGROVE BOULEVARD","BURR RIDGE","IL","60521","2017-11-20","Fine","6500",,,"6801 HIGHGROVE BOULEVARD,BURR RIDGE,IL,60521","2020-11-01"
"146098","SHARON HEALTH CARE ELMS","3611 NORTH ROCHELLE","PEORIA","IL","61604","2019-04-22","Payment Denial",,"2019-07-22","9","3611 NORTH ROCHELLE,PEORIA,IL,61604","2020-11-01"
"146100","WALKER NURSING HOME","530 EAST BEARDSTOWN STREET","VIRGINIA","IL","62691","2019-05-07","Fine","8011",,,"530 EAST BEARDSTOWN STREET,VIRGINIA,IL,62691","2020-11-01"
"146102","MANOR COURT OF FREEPORT","2170 WEST NAVAJO DRIVE","FREEPORT","IL","61032","2019-08-13","Fine","12255",,,"2170 WEST NAVAJO DRIVE,FREEPORT,IL,61032","2020-11-01"
"146108","MANOR COURT OF PEORIA","6900 NORTH STALWORTH","PEORIA","IL","61615","2017-11-20","Fine","35830",,,"6900 NORTH STALWORTH,PEORIA,IL,61615","2020-11-01"
"146112","APERION CARE BRADLEY","650 NORTH KINZIE","BRADLEY","IL","60915","2018-03-09","Fine","85378",,,"650 NORTH KINZIE,BRADLEY,IL,60915","2020-11-01"
"146112","APERION CARE BRADLEY","650 NORTH KINZIE","BRADLEY","IL","60915","2018-03-09","Payment Denial",,"2018-05-30","93","650 NORTH KINZIE,BRADLEY,IL,60915","2020-11-01"
"146112","APERION CARE BRADLEY","650 NORTH KINZIE","BRADLEY","IL","60915","2018-12-11","Fine","9753",,,"650 NORTH KINZIE,BRADLEY,IL,60915","2020-11-01"
"146112","APERION CARE BRADLEY","650 NORTH KINZIE","BRADLEY","IL","60915","2019-04-10","Fine","13014",,,"650 NORTH KINZIE,BRADLEY,IL,60915","2020-11-01"
"146112","APERION CARE BRADLEY","650 NORTH KINZIE","BRADLEY","IL","60915","2019-04-10","Payment Denial",,"2019-06-09","4","650 NORTH KINZIE,BRADLEY,IL,60915","2020-11-01"
"146112","APERION CARE BRADLEY","650 NORTH KINZIE","BRADLEY","IL","60915","2019-10-01","Fine","80340",,,"650 NORTH KINZIE,BRADLEY,IL,60915","2020-11-01"
"146114","LENA LIVING CENTER","1010 SOUTH LOGAN STREET","LENA","IL","61048","2018-03-28","Fine","7150",,,"1010 SOUTH LOGAN STREET,LENA,IL,61048","2020-11-01"
"146130","HILLCREST RETIREMENT VILLAGE","1740 NORTH CIRCUIT DRIVE","ROUND LAKE BEACH","IL","60073","2018-06-27","Fine","17648",,,"1740 NORTH CIRCUIT DRIVE,ROUND LAKE BEACH,IL,60073","2020-11-01"
"146130","HILLCREST RETIREMENT VILLAGE","1740 NORTH CIRCUIT DRIVE","ROUND LAKE BEACH","IL","60073","2019-09-23","Fine","87624",,,"1740 NORTH CIRCUIT DRIVE,ROUND LAKE BEACH,IL,60073","2020-11-01"
"146132","SOUTH SUBURBAN REHAB CENTER","19000 SOUTH HALSTED","HOMEWOOD","IL","60430","2019-08-09","Fine","11225",,,"19000 SOUTH HALSTED,HOMEWOOD,IL,60430","2020-11-01"
"146139","REGENCY CARE","2120 WEST WASHINGTON","SPRINGFIELD","IL","62702","2018-04-13","Fine","8453",,,"2120 WEST WASHINGTON,SPRINGFIELD,IL,62702","2020-11-01"
"146152","ROCHELLE GARDENS CARE CENTER","1021 CARON ROAD","ROCHELLE","IL","61068","2017-11-17","Fine","69707",,,"1021 CARON ROAD,ROCHELLE,IL,61068","2020-11-01"
"146152","ROCHELLE GARDENS CARE CENTER","1021 CARON ROAD","ROCHELLE","IL","61068","2018-04-18","Payment Denial",,"2018-07-18","41","1021 CARON ROAD,ROCHELLE,IL,61068","2020-11-01"
"146164","COMMUNITY CARE CENTER","4314 SOUTH WABASH AVENUE","CHICAGO","IL","60653","2018-05-23","Fine","8778",,,"4314 SOUTH WABASH AVENUE,CHICAGO,IL,60653","2020-11-01"
"146167","FOSTER HEALTH & REHAB CENTER","2840 WEST FOSTER AVENUE","CHICAGO","IL","60625","2018-11-15","Payment Denial",,"2019-02-15","18","2840 WEST FOSTER AVENUE,CHICAGO,IL,60625","2020-11-01"
"146172","SPRING CREEK","777 DRAPER AVENUE","JOLIET","IL","60432","2017-11-08","Fine","13500",,,"777 DRAPER AVENUE,JOLIET,IL,60432","2020-11-01"
"146178","VICTORIAN VILLAGE HLTH & WELL","12525 W RENAISSANCE CIRCLE","HOMER GLEN","IL","60491","2018-07-11","Fine","19845",,,"12525 W RENAISSANCE CIRCLE,HOMER GLEN,IL,60491","2020-11-01"
"155005","PROVIDENCE ANDERSON","1345 N MADISON AVE","ANDERSON","IN","46011","2019-01-03","Fine","19997",,,"1345 N MADISON AVE,ANDERSON,IN,46011","2020-11-01"
"155005","PROVIDENCE ANDERSON","1345 N MADISON AVE","ANDERSON","IN","46011","2019-03-12","Fine","7296",,,"1345 N MADISON AVE,ANDERSON,IN,46011","2020-11-01"
"155006","MILLER'S MERRY MANOR","1900  N  ALBER ST","WABASH","IN","46992","2018-02-05","Fine","6500",,,"1900  N  ALBER ST,WABASH,IN,46992","2020-11-01"
"155026","GREENWOOD VILLAGE SOUTH","295 VILLAGE LANE","GREENWOOD","IN","46143","2018-02-01","Fine","6500",,,"295 VILLAGE LANE,GREENWOOD,IN,46143","2020-11-01"
"155038","WATERS EDGE VILLAGE","2200 WEST WHITE RIVER BLVD","MUNCIE","IN","47303","2019-11-15","Fine","191714",,,"2200 WEST WHITE RIVER BLVD,MUNCIE,IN,47303","2020-11-01"
"155042","WILLOW MANOR","3801 OLD BRUCEVILLE ROAD, BOX 136","VINCENNES","IN","47591","2019-12-20","Payment Denial",,"2020-03-20","3","3801 OLD BRUCEVILLE ROAD, BOX 136,VINCENNES,IN,47591","2020-11-01"
"155064","APERION CARE KOKOMO","3518 S LAFOUNTAIN ST","KOKOMO","IN","46902","2019-01-22","Fine","85157",,,"3518 S LAFOUNTAIN ST,KOKOMO,IN,46902","2020-11-01"
"155064","APERION CARE KOKOMO","3518 S LAFOUNTAIN ST","KOKOMO","IN","46902","2019-01-22","Payment Denial",,"2019-03-24","24","3518 S LAFOUNTAIN ST,KOKOMO,IN,46902","2020-11-01"
"155064","APERION CARE KOKOMO","3518 S LAFOUNTAIN ST","KOKOMO","IN","46902","2019-06-21","Payment Denial",,"2019-09-04","57","3518 S LAFOUNTAIN ST,KOKOMO,IN,46902","2020-11-01"
"155086","WOODLAND MANOR","343 S NAPPANEE ST","ELKHART","IN","46514","2019-09-04","Fine","7296",,,"343 S NAPPANEE ST,ELKHART,IN,46514","2020-11-01"
"155094","ST MARY HEALTHCARE CENTER","2201 CASON ST","LAFAYETTE","IN","47904","2019-04-04","Fine","7475",,,"2201 CASON ST,LAFAYETTE,IN,47904","2020-11-01"
"155094","ST MARY HEALTHCARE CENTER","2201 CASON ST","LAFAYETTE","IN","47904","2020-01-23","Fine","7150",,,"2201 CASON ST,LAFAYETTE,IN,47904","2020-11-01"
"155100","GARDEN VILLA - BEDFORD","2111 NORTON LN","BEDFORD","IN","47421","2018-11-08","Payment Denial",,"2019-02-08","11","2111 NORTON LN,BEDFORD,IN,47421","2020-11-01"
"155118","MILLER'S MERRY MANOR","787 N DETROIT ST","LAGRANGE","IN","46761","2019-12-12","Payment Denial",,"2020-01-02","9","787 N DETROIT ST,LAGRANGE,IN,46761","2020-11-01"
"155131","MUNSTER MED-INN","7935 CALUMET AVE","MUNSTER","IN","46321","2018-02-15","Fine","8548",,,"7935 CALUMET AVE,MUNSTER,IN,46321","2020-11-01"
"155131","MUNSTER MED-INN","7935 CALUMET AVE","MUNSTER","IN","46321","2018-09-24","Fine","22628",,,"7935 CALUMET AVE,MUNSTER,IN,46321","2020-11-01"
"155137","GOLDEN LIVING CENTER-VALPARAISO","251 STURDY RD","VALPARAISO","IN","46383","2017-11-07","Fine","30000",,,"251 STURDY RD,VALPARAISO,IN,46383","2020-11-01"
"155137","GOLDEN LIVING CENTER-VALPARAISO","251 STURDY RD","VALPARAISO","IN","46383","2019-04-26","Fine","12500",,,"251 STURDY RD,VALPARAISO,IN,46383","2020-11-01"
"155138","GOLDEN LIVING CENTER-INDIANAPOLIS","2860 CHURCHMAN AVE","INDIANAPOLIS","IN","46203","2018-06-04","Fine","14850",,,"2860 CHURCHMAN AVE,INDIANAPOLIS,IN,46203","2020-11-01"
"155138","GOLDEN LIVING CENTER-INDIANAPOLIS","2860 CHURCHMAN AVE","INDIANAPOLIS","IN","46203","2019-01-23","Fine","9627",,,"2860 CHURCHMAN AVE,INDIANAPOLIS,IN,46203","2020-11-01"
"155138","GOLDEN LIVING CENTER-INDIANAPOLIS","2860 CHURCHMAN AVE","INDIANAPOLIS","IN","46203","2019-04-17","Fine","24833",,,"2860 CHURCHMAN AVE,INDIANAPOLIS,IN,46203","2020-11-01"
"155139","NORTH WOODS VILLAGE","2233 W JEFFERSON ST","KOKOMO","IN","46901","2018-06-13","Fine","65167",,,"2233 W JEFFERSON ST,KOKOMO,IN,46901","2020-11-01"
"155139","NORTH WOODS VILLAGE","2233 W JEFFERSON ST","KOKOMO","IN","46901","2019-02-14","Fine","13905",,,"2233 W JEFFERSON ST,KOKOMO,IN,46901","2020-11-01"
"155145","WASHINGTON NURSING CENTER","603 E NATIONAL HWY","WASHINGTON","IN","47501","2019-01-11","Fine","15650",,,"603 E NATIONAL HWY,WASHINGTON,IN,47501","2020-11-01"
"155149","HARCOURT TERRACE NURSING AND REHABILITATION","8181 HARCOURT RD","INDIANAPOLIS","IN","46260","2019-05-08","Fine","73782",,,"8181 HARCOURT RD,INDIANAPOLIS,IN,46260","2020-11-01"
"155154","SPRING MILL MEADOWS","2140 W 86TH ST","INDIANAPOLIS","IN","46260","2018-05-21","Fine","8125",,,"2140 W 86TH ST,INDIANAPOLIS,IN,46260","2020-11-01"
"155156","APERION CARE ARBORS MICHIGAN CITY","1101 E COOLSPRING AVE","MICHIGAN CITY","IN","46360","2018-01-30","Fine","12746",,,"1101 E COOLSPRING AVE,MICHIGAN CITY,IN,46360","2020-11-01"
"155156","APERION CARE ARBORS MICHIGAN CITY","1101 E COOLSPRING AVE","MICHIGAN CITY","IN","46360","2018-12-13","Payment Denial",,"2019-03-13","9","1101 E COOLSPRING AVE,MICHIGAN CITY,IN,46360","2020-11-01"
"155156","APERION CARE ARBORS MICHIGAN CITY","1101 E COOLSPRING AVE","MICHIGAN CITY","IN","46360","2019-05-20","Payment Denial",,"2019-08-20","30","1101 E COOLSPRING AVE,MICHIGAN CITY,IN,46360","2020-11-01"
"155162","AUTUMN RIDGE REHABILITATION CENTRE","600 WASHINGTON AVE","WABASH","IN","46992","2019-10-25","Fine","7296",,,"600 WASHINGTON AVE,WABASH,IN,46992","2020-11-01"
"155165","RIVERVIEW VILLAGE","586 EASTERN BLVD","CLARKSVILLE","IN","47129","2019-06-21","Fine","6633",,,"586 EASTERN BLVD,CLARKSVILLE,IN,47129","2020-11-01"
"155170","WESTMINSTER VILLAGE MUNCIE INC","5801 W BETHEL AVE","MUNCIE","IN","47304","2018-01-04","Fine","7150",,,"5801 W BETHEL AVE,MUNCIE,IN,47304","2020-11-01"
"155170","WESTMINSTER VILLAGE MUNCIE INC","5801 W BETHEL AVE","MUNCIE","IN","47304","2018-04-24","Fine","19793",,,"5801 W BETHEL AVE,MUNCIE,IN,47304","2020-11-01"
"155178","GOLDEN LIVING CENTER-FOUNTAINVIEW","609 W TANGLEWOOD LN","MISHAWAKA","IN","46545","2018-09-10","Fine","23751",,,"609 W TANGLEWOOD LN,MISHAWAKA,IN,46545","2020-11-01"
"155181","CARMEL HEALTH & LIVING COMMUNITY","118 MEDICAL DR","CARMEL","IN","46032","2018-01-24","Fine","38144",,,"118 MEDICAL DR,CARMEL,IN,46032","2020-11-01"
"155181","CARMEL HEALTH & LIVING COMMUNITY","118 MEDICAL DR","CARMEL","IN","46032","2018-07-06","Fine","12500",,,"118 MEDICAL DR,CARMEL,IN,46032","2020-11-01"
"155181","CARMEL HEALTH & LIVING COMMUNITY","118 MEDICAL DR","CARMEL","IN","46032","2018-09-13","Fine","17500",,,"118 MEDICAL DR,CARMEL,IN,46032","2020-11-01"
"155188","GREENFIELD HEALTHCARE CENTER","200 GREEN MEADOWS DR","GREENFIELD","IN","46140","2018-10-17","Fine","11053",,,"200 GREEN MEADOWS DR,GREENFIELD,IN,46140","2020-11-01"
"155188","GREENFIELD HEALTHCARE CENTER","200 GREEN MEADOWS DR","GREENFIELD","IN","46140","2019-11-25","Fine","58280",,,"200 GREEN MEADOWS DR,GREENFIELD,IN,46140","2020-11-01"
"155193","GREENWOOD HEALTHCARE CENTER","377 WESTRIDGE BLVD","GREENWOOD","IN","46142","2018-04-06","Fine","19032",,,"377 WESTRIDGE BLVD,GREENWOOD,IN,46142","2020-11-01"
"155198","MARQUETTE","8140 TOWNSHIP LINE RD","INDIANAPOLIS","IN","46260","2019-07-19","Fine","17804",,,"8140 TOWNSHIP LINE RD,INDIANAPOLIS,IN,46260","2020-11-01"
"155199","MAPLE PARK VILLAGE","776 N UNION ST","WESTFIELD","IN","46074","2019-10-24","Fine","123068",,,"776 N UNION ST,WESTFIELD,IN,46074","2020-11-01"
"155203","HILLCREST VILLAGE","203 SPARKS AVE","JEFFERSONVILLE","IN","47130","2019-08-02","Fine","13905",,,"203 SPARKS AVE,JEFFERSONVILLE,IN,47130","2020-11-01"
"155205","GREENCROFT HEALTHCARE","1225 GREENCROFT DR","GOSHEN","IN","46527","2019-02-19","Fine","37180",,,"1225 GREENCROFT DR,GOSHEN,IN,46527","2020-11-01"
"155208","HANOVER NURSING CENTER","410 W LAGRANGE RD","HANOVER","IN","47243","2018-01-24","Fine","37253",,,"410 W LAGRANGE RD,HANOVER,IN,47243","2020-11-01"
"155208","HANOVER NURSING CENTER","410 W LAGRANGE RD","HANOVER","IN","47243","2018-10-25","Fine","42165",,,"410 W LAGRANGE RD,HANOVER,IN,47243","2020-11-01"
"155217","WATERS OF HUNTINGBURG, THE","1712 LELAND DR","HUNTINGBURG","IN","47542","2018-02-09","Fine","40814",,,"1712 LELAND DR,HUNTINGBURG,IN,47542","2020-11-01"
"155219","SIGNATURE HEALTHCARE OF SOUTH BEND","52654 N IRONWOOD RD","SOUTH BEND","IN","46635","2018-10-02","Fine","54030",,,"52654 N IRONWOOD RD,SOUTH BEND,IN,46635","2020-11-01"
"155219","SIGNATURE HEALTHCARE OF SOUTH BEND","52654 N IRONWOOD RD","SOUTH BEND","IN","46635","2019-07-31","Fine","29689",,,"52654 N IRONWOOD RD,SOUTH BEND,IN,46635","2020-11-01"
"155219","SIGNATURE HEALTHCARE OF SOUTH BEND","52654 N IRONWOOD RD","SOUTH BEND","IN","46635","2019-07-31","Payment Denial",,"2019-10-31","39","52654 N IRONWOOD RD,SOUTH BEND,IN,46635","2020-11-01"
"155220","DYER NURSING AND REHABILITATION CENTER","601 SHEFFIELD AVE","DYER","IN","46311","2018-12-05","Fine","12795",,,"601 SHEFFIELD AVE,DYER,IN,46311","2020-11-01"
"155222","KOKOMO HEALTHCARE CENTER","429 W LINCOLN RD","KOKOMO","IN","46902","2017-12-11","Fine","14300",,,"429 W LINCOLN RD,KOKOMO,IN,46902","2020-11-01"
"155224","COLUMBIA HEALTHCARE CENTER","621 W COLUMBIA ST","EVANSVILLE","IN","47710","2019-04-23","Fine","13605",,,"621 W COLUMBIA ST,EVANSVILLE,IN,47710","2020-11-01"
"155232","TWIN CITY HEALTH CARE","627 E NORTH H STREET","GAS CITY","IN","46933","2018-02-19","Fine","29602",,,"627 E NORTH H STREET,GAS CITY,IN,46933","2020-11-01"
"155232","TWIN CITY HEALTH CARE","627 E NORTH H STREET","GAS CITY","IN","46933","2018-04-30","Fine","53803",,,"627 E NORTH H STREET,GAS CITY,IN,46933","2020-11-01"
"155235","MILLER'S MERRY MANOR","200 26TH ST","LOGANSPORT","IN","46947","2019-08-27","Fine","6633",,,"200 26TH ST,LOGANSPORT,IN,46947","2020-11-01"
"155243","SIGNATURE HEALTHCARE OF LAFAYETTE","300 WINDY HILL DR","LAFAYETTE","IN","47905","2018-01-17","Fine","83714",,,"300 WINDY HILL DR,LAFAYETTE,IN,47905","2020-11-01"
"155243","SIGNATURE HEALTHCARE OF LAFAYETTE","300 WINDY HILL DR","LAFAYETTE","IN","47905","2018-01-17","Payment Denial",,"2018-04-17","7","300 WINDY HILL DR,LAFAYETTE,IN,47905","2020-11-01"
"155243","SIGNATURE HEALTHCARE OF LAFAYETTE","300 WINDY HILL DR","LAFAYETTE","IN","47905","2018-11-27","Fine","27254",,,"300 WINDY HILL DR,LAFAYETTE,IN,47905","2020-11-01"
"155243","SIGNATURE HEALTHCARE OF LAFAYETTE","300 WINDY HILL DR","LAFAYETTE","IN","47905","2019-03-14","Fine","10949",,,"300 WINDY HILL DR,LAFAYETTE,IN,47905","2020-11-01"
"155254","SUGAR CREEK REHABILITATION AND CONVALESCENT CENTER","5430 W US 40","GREENFIELD","IN","46140","2018-04-02","Fine","102978",,,"5430 W US 40,GREENFIELD,IN,46140","2020-11-01"
"155255","WOODVIEW A WATERS COMMUNITY","3420 EAST STATE BLVD","FORT WAYNE","IN","46805","2018-02-14","Fine","68995",,,"3420 EAST STATE BLVD,FORT WAYNE,IN,46805","2020-11-01"
"155255","WOODVIEW A WATERS COMMUNITY","3420 EAST STATE BLVD","FORT WAYNE","IN","46805","2019-03-14","Payment Denial",,"2019-05-28","65","3420 EAST STATE BLVD,FORT WAYNE,IN,46805","2020-11-01"
"155266","LIFE CARE CENTER OF FORT WAYNE","1649 SPY RUN AVENUE","FORT WAYNE","IN","46805","2019-04-05","Fine","23964",,,"1649 SPY RUN AVENUE,FORT WAYNE,IN,46805","2020-11-01"
"155269","EAST LAKE NURSING & REHABILITATION CENTER","1900 JEANWOOD DR","ELKHART","IN","46514","2019-01-18","Fine","23868",,,"1900 JEANWOOD DR,ELKHART,IN,46514","2020-11-01"
"155269","EAST LAKE NURSING & REHABILITATION CENTER","1900 JEANWOOD DR","ELKHART","IN","46514","2019-07-17","Fine","9955",,,"1900 JEANWOOD DR,ELKHART,IN,46514","2020-11-01"
"155273","CYPRESS GROVE REHABILITATION CENTER","4255 MEDWELL DR","NEWBURGH","IN","47630","2018-01-03","Fine","8125",,,"4255 MEDWELL DR,NEWBURGH,IN,47630","2020-11-01"
"155280","WATERS OF DILLSBORO-ROSS MANOR, THE","12803 LENOVER ST","DILLSBORO","IN","47018","2018-09-12","Fine","51333",,,"12803 LENOVER ST,DILLSBORO,IN,47018","2020-11-01"
"155280","WATERS OF DILLSBORO-ROSS MANOR, THE","12803 LENOVER ST","DILLSBORO","IN","47018","2019-07-02","Fine","7296",,,"12803 LENOVER ST,DILLSBORO,IN,47018","2020-11-01"
"155280","WATERS OF DILLSBORO-ROSS MANOR, THE","12803 LENOVER ST","DILLSBORO","IN","47018","2019-09-13","Fine","15376",,,"12803 LENOVER ST,DILLSBORO,IN,47018","2020-11-01"
